Program to calculate energy of water
Input NAME of configuration file
Thread 9 processed npair 24982
Thread 4 processed npair 66649
Thread 11 processed npair 8282
Thread 0 processed npair 99990
Thread 7 processed npair 41655
Thread 10 processed npair 16618
Thread 6 processed npair 49982
Thread 11 processed npair 8281
Thread 8 processed npair 33307
Thread 10 processed npair 16617
Thread 11 processed npair 8280
Thread 3 processed npair 74986
Thread 10 processed npair 16616
Thread 9 processed npair 24981
Thread 5 processed npair 58323
Thread 4 processed npair 66648
Thread 11 processed npair 8279
Thread 8 processed npair 33306
Thread 10 processed npair 16615
Thread 6 processed npair 49981
Thread 2 processed npair 83326
Thread 1 processed npair 91656
Thread 11 processed npair 8278
Thread 10 processed npair 16614
Thread 7 processed npair 41654
Thread 11 processed npair 8277
Thread 8 processed npair 33305
Thread 0 processed npair 99989
Thread 9 processed npair 24980
Thread 10 processed npair 16613
Thread 4 processed npair 66647
Thread 5 processed npair 58322
Thread 11 processed npair 8276
Thread 6 processed npair 49980
Thread 3 processed npair 74985
Thread 10 processed npair 16612
Thread 11 processed npair 8275
Thread 8 processed npair 33304
Thread 10 processed npair 16611
Thread 11 processed npair 8274
Thread 9 processed npair 24979
Thread 10 processed npair 16610
Thread 11 processed npair 8273
Thread 4 processed npair 66646
Thread 8 processed npair 33303
Thread 1 processed npair 91655
Thread 5 processed npair 58321
Thread 7 processed npair 41653
Thread 6 processed npair 49979
Thread 10 processed npair 16609
Thread 11 processed npair 8272
Thread 0 processed npair 99988
Thread 10 processed npair 16608
Thread 11 processed npair 8271
Thread 9 processed npair 24978
Thread 3 processed npair 74984
Thread 8 processed npair 33302
Thread 10 processed npair 16607
Thread 11 processed npair 8270
Thread 4 processed npair 66645
Thread 6 processed npair 49978
Thread 2 processed npair 83325
Thread 5 processed npair 58320
Thread 10 processed npair 16606
Thread 11 processed npair 8269
Thread 8 processed npair 33301
Thread 10 processed npair 16605
Thread 9 processed npair 24977
Thread 11 processed npair 8268
Thread 7 processed npair 41652
Thread 10 processed npair 16604
Thread 1 processed npair 91654
Thread 11 processed npair 8267
Thread 8 processed npair 33300
Thread 4 processed npair 66644
Thread 0 processed npair 99987
Thread 10 processed npair 16603
Thread 6 processed npair 49977
Thread 3 processed npair 74983
Thread 11 processed npair 8266
Thread 5 processed npair 58319
Thread 10 processed npair 16602
Thread 9 processed npair 24976
Thread 11 processed npair 8265
Thread 10 processed npair 16601
Thread 8 processed npair 33299
Thread 10 processed npair 16600
Thread 11 processed npair 8264
Thread 4 processed npair 66643
Thread 6 processed npair 49976
Thread 7 processed npair 41651
Thread 10 processed npair 16599
Thread 11 processed npair 8263
Thread 8 processed npair 33298
Thread 9 processed npair 24975
Thread 10 processed npair 16598
Thread 5 processed npair 58318
Thread 3 processed npair 74982
Thread 11 processed npair 8262
Thread 1 processed npair 91653
Thread 10 processed npair 16597
Thread 0 processed npair 99986
Thread 11 processed npair 8261
Thread 10 processed npair 16596
Thread 8 processed npair 33297
Thread 6 processed npair 49975
Thread 4 processed npair 66642
Thread 2 processed npair 83324
Thread 11 processed npair 8260
Thread 10 processed npair 16595
Thread 9 processed npair 24974
Thread 10 processed npair 16594
Thread 11 processed npair 8259
Thread 5 processed npair 58317
Thread 8 processed npair 33296
Thread 7 processed npair 41650
Thread 10 processed npair 16593
Thread 11 processed npair 8258
Thread 3 processed npair 74981
Thread 6 processed npair 49974
Thread 10 processed npair 16592
Thread 4 processed npair 66641
Thread 11 processed npair 8257
Thread 9 processed npair 24973
Thread 8 processed npair 33295
Thread 10 processed npair 16591
Thread 1 processed npair 91652
Thread 0 processed npair 99985
Thread 11 processed npair 8256
Thread 10 processed npair 16590
Thread 5 processed npair 58316
Thread 11 processed npair 8255
Thread 10 processed npair 16589
Thread 8 processed npair 33294
Thread 6 processed npair 49973
Thread 4 processed npair 66640
Thread 10 processed npair 16588
Thread 9 processed npair 24972
Thread 7 processed npair 41649
Thread 11 processed npair 8254
Thread 10 processed npair 16587
Thread 3 processed npair 74980
Thread 11 processed npair 8253
Thread 8 processed npair 33293
Thread 10 processed npair 16586
Thread 5 processed npair 58315
Thread 11 processed npair 8252
Thread 6 processed npair 49972
Thread 10 processed npair 16585
Thread 9 processed npair 24971
Thread 0 processed npair 99984
Thread 4 processed npair 66639
Thread 2 processed npair 83323
Thread 1 processed npair 91651
Thread 11 processed npair 8251
Thread 10 processed npair 16584
Thread 8 processed npair 33292
Thread 11 processed npair 8250
Thread 10 processed npair 16583
Thread 7 processed npair 41648
Thread 11 processed npair 8249
Thread 10 processed npair 16582
Thread 3 processed npair 74979
Thread 9 processed npair 24970
Thread 8 processed npair 33291
Thread 5 processed npair 58314
Thread 11 processed npair 8248
Thread 6 processed npair 49971
Thread 10 processed npair 16581
Thread 11 processed npair 8247
Thread 4 processed npair 66638
Thread 11 processed npair 8246
Thread 9 processed npair 24969
Thread 10 processed npair 16580
Thread 8 processed npair 33290
Thread 11 processed npair 8245
Thread 7 processed npair 41647
Thread 11 processed npair 8244
Thread 10 processed npair 16579
Thread 1 processed npair 91650
Thread 9 processed npair 24968
Thread 11 processed npair 8243
Thread 0 processed npair 99983
Thread 2 processed npair 83322
Thread 10 processed npair 16578
Thread 11 processed npair 8242
Thread 8 processed npair 33289
Thread 6 processed npair 49970
Thread 3 processed npair 74978
Thread 11 processed npair 8241
Thread 5 processed npair 58313
Thread 10 processed npair 16577
Thread 7 processed npair 41646
Thread 9 processed npair 24967
Thread 4 processed npair 66637
Thread 11 processed npair 8240
Thread 11 processed npair 8239
Thread 10 processed npair 16576
Thread 8 processed npair 33288
Thread 11 processed npair 8238
Thread 9 processed npair 24966
Thread 10 processed npair 16575
Thread 11 processed npair 8237
Thread 11 processed npair 8236
Thread 7 processed npair 41645
Thread 6 processed npair 49969
Thread 8 processed npair 33287
Thread 10 processed npair 16574
Thread 11 processed npair 8235
Thread 9 processed npair 24965
Thread 1 processed npair 91649
Thread 11 processed npair 8234
Thread 3 processed npair 74977
Thread 5 processed npair 58312
Thread 4 processed npair 66636
Thread 10 processed npair 16573
Thread 11 processed npair 8233
Thread 2 processed npair 83321
Thread 11 processed npair 8232
Thread 9 processed npair 24964
Thread 0 processed npair 99982
Thread 8 processed npair 33286
Thread 10 processed npair 16572
Thread 7 processed npair 41644
Thread 11 processed npair 8231
Thread 11 processed npair 8230
Thread 10 processed npair 16571
Thread 9 processed npair 24963
Thread 11 processed npair 8229
Thread 6 processed npair 49968
Thread 11 processed npair 8228
Thread 8 processed npair 33285
Thread 10 processed npair 16570
Thread 11 processed npair 8227
Thread 7 processed npair 41643
Thread 9 processed npair 24962
Thread 11 processed npair 8226
Thread 4 processed npair 66635
Thread 10 processed npair 16569
Thread 5 processed npair 58311
Thread 3 processed npair 74976
Thread 11 processed npair 8225
Thread 1 processed npair 91648
Thread 11 processed npair 8224
Thread 8 processed npair 33284
Thread 2 processed npair 83320
Thread 10 processed npair 16568
Thread 9 processed npair 24961
Thread 11 processed npair 8223
Thread 11 processed npair 8222
Thread 10 processed npair 16567
Thread 7 processed npair 41642
Thread 6 processed npair 49967
Thread 11 processed npair 8221
Thread 9 processed npair 24960
Thread 11 processed npair 8220
Thread 8 processed npair 33283
Thread 0 processed npair 99981
Thread 10 processed npair 16566
Thread 11 processed npair 8219
Thread 4 processed npair 66634
Thread 11 processed npair 8218
Thread 10 processed npair 16565
Thread 9 processed npair 24959
Thread 5 processed npair 58310
Thread 11 processed npair 8217
Thread 3 processed npair 74975
Thread 7 processed npair 41641
Thread 8 processed npair 33282
Thread 11 processed npair 8216
Thread 10 processed npair 16564
Thread 11 processed npair 8215
Thread 9 processed npair 24958
Thread 2 processed npair 83319
Thread 6 processed npair 49966
Thread 11 processed npair 8214
Thread 10 processed npair 16563
Thread 1 processed npair 91647
Thread 11 processed npair 8213
Thread 8 processed npair 33281
Thread 11 processed npair 8212
Thread 7 processed npair 41640
Thread 9 processed npair 24957
Thread 10 processed npair 16562
Thread 11 processed npair 8211
Thread 4 processed npair 66633
Thread 11 processed npair 8210
Thread 10 processed npair 16561
Thread 11 processed npair 8209
Thread 5 processed npair 58309
Thread 9 processed npair 24956
Thread 8 processed npair 33280
Thread 3 processed npair 74974
Thread 11 processed npair 8208
Thread 10 processed npair 16560
Thread 0 processed npair 99980
Thread 7 processed npair 41639
Thread 6 processed npair 49965
Thread 11 processed npair 8207
Thread 9 processed npair 24955
Thread 11 processed npair 8206
Thread 10 processed npair 16559
Thread 2 processed npair 83318
Thread 11 processed npair 8205
Thread 8 processed npair 33279
Thread 10 processed npair 16558
Thread 11 processed npair 8204
Thread 4 processed npair 66632
Thread 9 processed npair 24954
Thread 1 processed npair 91646
Thread 11 processed npair 8203
Thread 7 processed npair 41638
Thread 10 processed npair 16557
Thread 11 processed npair 8202
Thread 8 processed npair 33278
Thread 11 processed npair 8201
Thread 5 processed npair 58308
Thread 10 processed npair 16556
Thread 9 processed npair 24953
Thread 6 processed npair 49964
Thread 11 processed npair 8200
Thread 3 processed npair 74973
Thread 11 processed npair 8199
Thread 10 processed npair 16555
Thread 11 processed npair 8198
Thread 7 processed npair 41637
Thread 9 processed npair 24952
Thread 8 processed npair 33277
Thread 11 processed npair 8197
Thread 10 processed npair 16554
Thread 11 processed npair 8196
Thread 4 processed npair 66631
Thread 2 processed npair 83317
Thread 0 processed npair 99979
Thread 11 processed npair 8195
Thread 9 processed npair 24951
Thread 10 processed npair 16553
Thread 11 processed npair 8194
Thread 8 processed npair 33276
Thread 1 processed npair 91645
Thread 7 processed npair 41636
Thread 6 processed npair 49963
Thread 11 processed npair 8193
Thread 5 processed npair 58307
Thread 10 processed npair 16552
Thread 11 processed npair 8192
Thread 9 processed npair 24950
Thread 3 processed npair 74972
Thread 11 processed npair 8191
Thread 10 processed npair 16551
Thread 11 processed npair 8190
Thread 8 processed npair 33275
Thread 11 processed npair 8189
Thread 9 processed npair 24949
Thread 4 processed npair 66630
Thread 10 processed npair 16550
Thread 7 processed npair 41635
Thread 11 processed npair 8188
Thread 11 processed npair 8187
Thread 2 processed npair 83316
Thread 10 processed npair 16549
Thread 11 processed npair 8186
Thread 9 processed npair 24948
Thread 6 processed npair 49962
Thread 8 processed npair 33274
Thread 11 processed npair 8185
Thread 5 processed npair 58306
Thread 11 processed npair 8184
Thread 10 processed npair 16548
Thread 7 processed npair 41634
Thread 11 processed npair 8183
Thread 0 processed npair 99978
Thread 9 processed npair 24947
Thread 3 processed npair 74971
Thread 1 processed npair 91644
Thread 11 processed npair 8182
Thread 10 processed npair 16547
Thread 8 processed npair 33273
Thread 11 processed npair 8181
Thread 4 processed npair 66629
Thread 9 processed npair 24946
Thread 6 processed npair 49961
Thread 11 processed npair 8180
Thread 10 processed npair 16546
Thread 11 processed npair 8179
Thread 7 processed npair 41633
Thread 11 processed npair 8178
Thread 10 processed npair 16545
Thread 8 processed npair 33272
Thread 5 processed npair 58305
Thread 9 processed npair 24945
Thread 11 processed npair 8177
Thread 2 processed npair 83315
Thread 11 processed npair 8176
Thread 10 processed npair 16544
Thread 11 processed npair 8175
Thread 6 processed npair 49960
Thread 3 processed npair 74970
Thread 9 processed npair 24944
Thread 11 processed npair 8174
Thread 8 processed npair 33271
Thread 10 processed npair 16543
Thread 7 processed npair 41632
Thread 11 processed npair 8173
Thread 4 processed npair 66628
Thread 11 processed npair 8172
Thread 10 processed npair 16542
Thread 1 processed npair 91643
Thread 11 processed npair 8171
Thread 9 processed npair 24943
Thread 5 processed npair 58304
Thread 0 processed npair 99977
Thread 8 processed npair 33270
Thread 11 processed npair 8170
Thread 10 processed npair 16541
Thread 11 processed npair 8169
Thread 7 processed npair 41631
Thread 6 processed npair 49959
Thread 9 processed npair 24942
Thread 11 processed npair 8168
Thread 10 processed npair 16540
Thread 11 processed npair 8167
Thread 2 processed npair 83314
Thread 8 processed npair 33269
